Scenario,Solver,n_features,n_samples,Time_ms,RelError,Timestamp
narrow,Gauss_Perminov,20,4096,6.0531,1.605800e-01,2026-06-01 10:42:42
narrow,Gauss_Winograd,20,4096,6.4411,1.605800e-01,2026-06-01 10:42:42
narrow,Cholesky_Naive,20,4096,6.4558,1.605800e-01,2026-06-01 10:42:42
narrow,Cholesky_Perminov,20,4096,6.0131,1.605800e-01,2026-06-01 10:42:42
narrow,Cholesky_Winograd,20,4096,6.2571,1.605800e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,6,4096,1.033,1.363944e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,6,4096,1.0524,1.363944e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,6,4096,1.1334,1.363944e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,6,4096,1.1067,1.363944e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,6,4096,1.1187,1.363944e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,6,4096,1.105,1.363944e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,10,4096,2.1157,1.342850e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,10,4096,2.1287,1.342850e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,10,4096,2.1214,1.342850e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,10,4096,2.1074,1.342850e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,10,4096,2.0744,1.342850e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,10,4096,2.1007,1.342850e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,14,4096,3.7021,1.325606e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,14,4096,3.4314,1.325606e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,14,4096,3.5097,1.325606e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,14,4096,3.7354,1.325606e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,14,4096,3.4107,1.325606e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,14,4096,3.4914,1.325606e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,9,4096,1.6804,1.340626e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,9,4096,1.7514,1.340626e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,9,4096,1.7687,1.340626e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,9,4096,1.6777,1.340626e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,9,4096,1.7444,1.340626e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,9,4096,1.7474,1.340626e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,15,4096,4.2084,1.327493e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,15,4096,3.7684,1.327493e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,15,4096,3.9037,1.327493e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,15,4096,3.9501,1.327493e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,15,4096,3.8037,1.327493e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,15,4096,3.9014,1.327493e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,21,4096,7.6445,1.316689e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,21,4096,6.6351,1.316689e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,21,4096,7.0395,1.316689e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,21,4096,7.6538,1.316689e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,21,4096,6.5421,1.316689e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,21,4096,6.9085,1.316689e-01,2026-06-01 10:42:43
