Solver,Scenario,Time_ms,EVM,ACLR
solve_gauss_naive,Narrow,0.4510529979597777,2.9892637456809883,-54.93677857205535
solve_gauss_naive,Wide,0.3550590008671861,1.59475511024683,-41.39123642067597
solve_gauss_perminov,Narrow,0.35574899811763316,2.7804727801117264,-49.44570317439364
solve_gauss_perminov,Wide,0.48551800136920065,0.5969517064937919,-41.334122479027045
solve_gauss_winograd,Narrow,0.33832400004030205,2.5846086901558953,-43.258413451556684
solve_gauss_winograd,Wide,0.38360200051101856,2.8237788332839973,-53.57792177043607
solve_cholesky_naive,Narrow,0.40675200216355734,0.5401866372179336,-44.05046874181221
solve_cholesky_naive,Wide,0.41019499985850416,2.281611575250492,-47.4297837157263
solve_cholesky_perminov,Narrow,0.4577039981086273,1.736690016378767,-48.43024506532259
solve_cholesky_perminov,Wide,0.7344650002778508,1.878301457776931,-41.013944743845784
solve_cholesky_winograd,Narrow,0.43506300062290393,2.137822102494897,-49.046181141216714
solve_cholesky_winograd,Wide,0.4592519981088117,2.5795425031436996,-46.49378518223197
solve_qr_householder,Narrow,2.1846769996045623,1.1890291460782005,-49.23201467956972
solve_qr_householder,Wide,1.3574410004366655,2.081152910365467,-49.87148122773904
